id,title,subTitle,url,image,price_sale,price_original,gender,age_group,sold,reviews,location
4872555967,【Official flagship store】New Balance NB 9060 Men's and women's sports shoes casual shoes gray,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-9060-mens-and-womens-sports-shoes-casual-shoes-gray-i4872555967.html,,2653.2,8180.0,[],adult,N/A,(1),Metro Manila~Las Pinas
4872877647,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes white blue,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-white-blue-i4872877647.html,,2475.0,8000.0,[],adult,7 sold,(2),Metro Manila~Las Pinas
4872996150,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes black red,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-black-red-i4872996150.html,,2475.0,8000.0,[],adult,5 sold,(5),Metro Manila~Las Pinas
4872838983,【Official flagship store】New Balance NB 327 women's sports shoes casual shoes white grey pink,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-womens-sports-shoes-casual-shoes-white-grey-pink-i4872838983.html,,2412.5,8000.0,[],adult,N/A,N/A,Metro Manila~Las Pinas
4872760553,【Official flagship store】New Balance NB 550 Men's and women's sports shoes casual shoes green,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-550-mens-and-womens-sports-shoes-casual-shoes-green-i4872760553.html,,2623.5,8080.0,[],adult,6 sold,(3),Metro Manila~Las Pinas
4872909486,【Official flagship store】New Balance NB 530 Men's and women's sports shoes casual shoes Light milk tea color,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-530-mens-and-womens-sports-shoes-casual-shoes-light-milk-tea-color-i4872909486.html,,2554.2,8050.0,[],adult,8 sold,(4),Metro Manila~Las Pinas
4872888182,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes white brown,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-white-brown-i4872888182.html,,2475.0,8000.0,[],adult,6 sold,(1),Metro Manila~Las Pinas
4872811339,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes leopard Print,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-leopard-print-i4872811339.html,,2475.0,8000.0,[],adult,N/A,(2),Metro Manila~Las Pinas
4872970335,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes white,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-white-i4872970335.html,,2475.0,8000.0,[],adult,N/A,(1),Metro Manila~Las Pinas
4872834960,【Official flagship store】New Balance XC-72 Men's and women's sports shoes casual shoes blue,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-xc-72-mens-and-womens-sports-shoes-casual-shoes-blue-i4872834960.html,,2653.2,8150.0,[],adult,N/A,(1),Metro Manila~Las Pinas
4872764515,【Official flagship store】New Balance NB 574 Men's and women's sports shoes casual shoes grayish blue,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-574-mens-and-womens-sports-shoes-casual-shoes-grayish-blue-i4872764515.html,,2574.0,7900.0,[],adult,N/A,N/A,Metro Manila~Las Pinas
4872880665,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes grey White,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-grey-white-i4872880665.html,,2475.0,8000.0,[],adult,N/A,(2),Metro Manila~Las Pinas
4872639768,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes grey and White,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-grey-and-white-i4872639768.html,,2475.0,8000.0,[],adult,N/A,(3),Metro Manila~Las Pinas
4872759549,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes white Orange,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-white-orange-i4872759549.html,,2475.0,8000.0,[],adult,N/A,(3),Metro Manila~Las Pinas
4872630772,【Official flagship store】New Balance NB 550 Men's and women's sports shoes casual shoes white green,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-550-mens-and-womens-sports-shoes-casual-shoes-white-green-i4872630772.html,,2603.7,8080.0,[],adult,5 sold,(3),Metro Manila~Las Pinas
4872993087,【Official flagship store】New Balance NB 530 Men's and women's sports shoes casual shoes Beige white,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-530-mens-and-womens-sports-shoes-casual-shoes-beige-white-i4872993087.html,,2554.2,8050.0,[],adult,5 sold,(3),Metro Manila~Las Pinas
4872962362,【Official flagship store】New Balance NB 1906R Men's and women's sports shoes casual shoes gray,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-1906r-mens-and-womens-sports-shoes-casual-shoes-gray-i4872962362.html,,2574.0,8100.0,[],adult,9 sold,(4),Metro Manila~Las Pinas
4872897578,【Official flagship store】New Balance NB 327 Men's and women's sports shoes casual shoes white red,running,https://www.lazada.com.ph/products/official-flagship-storenew-balance-nb-327-mens-and-womens-sports-shoes-casual-shoes-white-red-i4872897578.html,,2475.0,8000.0,[],adult,12 sold,(8),Metro Manila~Las Pinas
