id,title,subTitle,url,image,price_sale,price_original,gender,age_group,colordescription,out_of_stock,best_seller
FZ5808-107,Nike Air Max 1 Essential,Men's Shoes,https://www.nike.com/ph/t/air-max-1-essential-shoes-Vz0BS9/FZ5808-107,https://static.nike.com/a/images/t_default/9085d9f6-c0ac-4da1-bca5-34a8c879af48/NIKE+AIR+MAX+1+ESS.png,7895.0,7895.0,['male'],adult,Summit White/Photon Dust/Black/Vapour Green,False,False
HF1804-500,Nike G.T. Jump Academy EP,Basketball Shoes,https://www.nike.com/ph/t/gt-jump-academy-ep-basketball-shoes-PGSkKx/HF1804-500,https://static.nike.com/a/images/t_default/c434f5d7-8ec1-4838-8b47-519698963689/G.T.+JUMP+ACADEMY+EP.png,4295.0,4295.0,['male'],adult,Barely Grape/Hydrangeas/White/Ink,False,False
HF6416-600,Nike Streakfly 2,Men's Road Racing Shoes,https://www.nike.com/ph/t/streakfly-2-road-racing-shoes-gL3BZf/HF6416-600,https://static.nike.com/a/images/t_default/a826ab82-b7a7-4e73-b925-8bff701aa986/ZOOMX+STREAKFLY+2.png,10295.0,10295.0,['male'],adult,Bright Crimson/Hyper Orange/Gridiron/Lime Blast,False,True
IB1271-501,LeBron NXXT Genisus QS EP,Basketball Shoes,https://www.nike.com/ph/t/lebron-nxxt-genisus-qs-ep-basketball-shoes-Wf8PL5/IB1271-501,https://static.nike.com/a/images/t_default/f4acbe44-7ce4-4438-b7aa-6d4071414c37/LBJ+NXXT+GENISUS+QS+EP.png,9095.0,9095.0,['male'],adult,Persian Violet/Imperial Purple/Glacier Ice/White,False,False
HV2021-200,Nike Air Force 1 Retro,Men's Shoes,https://www.nike.com/ph/launch/r/HV2021-200,https://static.nike.com/a/images/t_default/12424d46-b851-4633-8a36-3088635f44cb/AIR+FORCE+1+RETRO+LL+QS.png,7595.0,7595.0,['male'],adult,Linen/White/Atmosphere,False,False
621716-103,Nike Reax 8 TR,Men's Workout Shoes,https://www.nike.com/ph/t/reax-8-tr-workout-shoes-wPmm1j/621716-103,https://static.nike.com/a/images/t_default/9948a3e6-78a1-48ae-affd-c08b08f621e2/NIKE+REAX+8+TR+MESH.png,4695.0,4695.0,['male'],adult,White/Wolf Grey/Chile Red/White,False,False
DV3337-104,Nike Air Max Dn,Shoes,https://www.nike.com/ph/t/air-max-dn-shoes-FtLNfm/DV3337-104,https://static.nike.com/a/images/t_default/df1534a7-d188-45d1-91d5-8fb38963cafb/AIR+MAX+DN.png,8395.0,8395.0,['male'],adult,White/Racer Blue/Bright Crimson/White,False,False
DV4345-800,Nike Tiempo Legend 10 Club,Turf Low-Top Football Shoes,https://www.nike.com/ph/t/tiempo-legend-10-club-low-top-football-shoes-9CJFpp/DV4345-800,https://static.nike.com/a/images/t_default/f22993a7-d103-4646-936f-046348d6a0fc/LEGEND+10+CLUB+TF.png,2895.0,2895.0,['male'],adult,Hot Lava/White,False,False
FJ9509-007,Nike Winflo 11,Men's Road Running Shoes,https://www.nike.com/ph/t/wio-11-road-running-shoes-2SNS3P/FJ9509-007,https://static.nike.com/a/images/t_default/3cd9c748-52b5-48de-aa88-99fb4a95a872/NIKE+AIR+WINFLO+11.png,5495.0,5495.0,['male'],adult,Sea Glass/Olive Aura/Phantom/Medium Ash,False,False
FJ9509-106,Nike Winflo 11,Men's Road Running Shoes,https://www.nike.com/ph/t/wio-11-road-running-shoes-2SNS3P/FJ9509-106,https://static.nike.com/a/images/t_default/bbe6868f-713d-4508-8638-dd36b34faa98/NIKE+AIR+WINFLO+11.png,5495.0,5495.0,['male'],adult,White/Blue Tint/Sail/Black,False,False
FQ1833-008,Nike Air Max Alpha Trainer 6,Men's Workout Shoes,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-008,https://static.nike.com/a/images/t_default/f9668952-a7a0-4b09-b804-0ac4f5cee8af/M+AIR+MAX+ALPHA+TRAINER+6.png,4995.0,4995.0,['male'],adult,Platinum Tint/College Grey/Black/Barely Green,False,False
FQ1833-102,Nike Air Max Alpha Trainer 6,Men's Workout Shoes,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-102,https://static.nike.com/a/images/t_default/9f1b1b80-85a7-4070-acbe-f912a17d9f36/M+AIR+MAX+ALPHA+TRAINER+6.png,4995.0,4995.0,['male'],adult,White/Light Smoke Grey/Black/Hyper Royal,False,False
HF1804-003,Nike G.T. Jump Academy EP,Basketball Shoes,https://www.nike.com/ph/t/gt-jump-academy-ep-basketball-shoes-PGSkKx/HF1804-003,https://static.nike.com/a/images/t_default/948b510d-ccc2-42f6-b5b5-d1d9ab8f41e9/G.T.+JUMP+ACADEMY+EP.png,4295.0,4295.0,['male'],adult,Black/Metallic Silver/White,False,False
HF6361-400,Nike Phantom GX 2 Elite 'Erling Haaland',FG Low-Top Football Boot,https://www.nike.com/ph/t/phantom-gx-2-elite-erling-haaland-fg-low-top-football-boot-5NVPxz/HF6361-400,https://static.nike.com/a/images/t_default/e0c25dae-4835-4f9a-88f8-042761fe8ebe/PHANTOM+GX+II+ELITE+FG+EH.png,13595.0,13595.0,['male'],adult,Blue Void/Chrome,False,False
AA2146-003,Nike Air Max Axis,Men's Shoe,https://www.nike.com/ph/t/air-max-axis-shoe-pp0jDG/AA2146-003,https://static.nike.com/a/images/t_default/uhotdsstqjrso9ttreah/NIKE+AIR+MAX+AXIS.png,5195.0,5195.0,['male'],adult,Black/White,False,False
BQ4212-003,Nike Flight Legacy,Men's Shoes,https://www.nike.com/ph/t/flight-legacy-shoes-sBc46g/BQ4212-003,https://static.nike.com/a/images/t_default/f4f3fa49-d9df-424c-998f-d1f47809806c/NIKE+FLIGHT+LEGACY.png,4995.0,4995.0,['male'],adult,Black/Dark Smoke Grey/White/Hyper Blue,False,True
BQ4212-101,Nike Flight Legacy,Men's Shoes,https://www.nike.com/ph/t/flight-legacy-shoes-sBc46g/BQ4212-101,https://static.nike.com/a/images/t_default/8415d8fa-bce1-43b7-9865-914c04986a97/NIKE+FLIGHT+LEGACY.png,4995.0,4995.0,['male'],adult,White/White/White,False,False
DV0740-402,Nike Flex Experience Run 12,Men's Road Running Shoes,https://www.nike.com/ph/t/flex-experience-run-12-road-running-shoes-3XtQ68/DV0740-402,https://static.nike.com/a/images/t_default/11a8a5da-0401-4655-a2af-7c78dcfa69dc/FLEX+EXPERIENCE+RN+12.png,3595.0,3595.0,['male'],adult,Denim Turquoise/White/Smoky Blue,False,False
DV1237-105,Nike Motiva,Men's Walking Shoes,https://www.nike.com/ph/t/motiva-walking-shoes-Fjzkq7/DV1237-105,https://static.nike.com/a/images/t_default/e5610fb9-f37c-42c7-855c-b2a9e06d513c/NIKE+MOTIVA.png,6195.0,6195.0,['male'],adult,White/Light Khaki/Deep Royal Blue,False,False
DV2440-401,Nike Lunar Roam,Men's Shoes,https://www.nike.com/ph/t/lunar-roam-shoes-clfBjG/DV2440-401,https://static.nike.com/a/images/t_default/21dc5795-54de-4e41-99a0-6a77bdd121aa/NIKE+LUNAR+ROAM.png,8395.0,8395.0,['male'],adult,Ashen Slate/Blue Tint/Smoke Grey/Black,False,False
DV3337-015,Nike Air Max Dn,Shoes,https://www.nike.com/ph/t/air-max-dn-shoes-FtLNfm/DV3337-015,https://static.nike.com/a/images/t_default/cc74e7eb-0b96-4076-ba99-ae3c91a374f5/AIR+MAX+DN.png,8395.0,8395.0,['male'],adult,Phantom/Photon Dust/Bleached Turquoise/Black,False,False
DV3337-016,Nike Air Max Dn,Shoes,https://www.nike.com/ph/t/air-max-dn-shoes-FtLNfm/DV3337-016,https://static.nike.com/a/images/t_default/667ea2fe-02ed-40aa-9a49-19e733db2dc9/AIR+MAX+DN.png,8395.0,8395.0,['male'],adult,Black/Black/Metallic Silver/University Red,False,False
DZ4475-106,Jumpman MVP,Men's Shoes,https://www.nike.com/ph/t/jumpman-mvp-shoes-JV1HCs/DZ4475-106,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a2c0aacb-cc69-4d22-9e38-1fdec87e3bf9/JORDAN+MVP.png",8995.0,8995.0,['male'],adult,White/Black/Summit White/Varsity Red,False,False
FB1362-001,Nike Full Force Low,Men's Shoes,https://www.nike.com/ph/t/full-force-low-shoes-w2MKmW/FB1362-001,https://static.nike.com/a/images/t_default/8f08b820-f450-4a87-b689-c7091cc88a9f/NIKE+FULL+FORCE+LO.png,4995.0,4995.0,['male'],adult,Black/Anthracite/Sail/White,False,False
FB9933-141,Air Jordan 1 Low '85,Men's Shoes,https://www.nike.com/ph/t/air-jordan-1-low-85-shoes-MX2mRf/FB9933-141,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/38efa34b-26e4-4856-8608-60b8f4b095c1/AIR+JORDAN+1+LOW+85.png",9395.0,9395.0,['male'],adult,White/White/Navy,False,True
FD4329-103,Nike Air Max Nuaxis,Men's Shoes,https://www.nike.com/ph/t/air-max-nuaxis-shoes-M51F5J/FD4329-103,https://static.nike.com/a/images/t_default/3f212f48-ef36-4ede-9135-223805718e2f/NIKE+AIR+MAX+NUAXIS.png,4995.0,4995.0,['male'],adult,White/Obsidian/Obsidian/University Blue,False,False
FD5130-700,Nike Calm,Men's Mules,https://www.nike.com/ph/t/calm-mules-MPxmrQ/FD5130-700,https://static.nike.com/a/images/t_default/8aef3ef4-40af-41d3-8c70-c95c7179999a/NIKE+CALM+MULE+NA.png,3895.0,3895.0,['male'],adult,Volt/Volt/Volt,False,False
FD6033-006,Nike Quest 6,Men's Road Running Shoes,https://www.nike.com/ph/t/quest-6-road-running-shoes-26WzN6/FD6033-006,https://static.nike.com/a/images/t_default/7d66aaed-8730-4161-9e78-699b1a4d72bf/NIKE+QUEST+6.png,4295.0,4295.0,['male'],adult,Football Grey/Blue Lightning/Persian Violet/Blue Void,False,False
FD6033-107,Nike Quest 6,Men's Road Running Shoes,https://www.nike.com/ph/t/quest-6-road-running-shoes-26WzN6/FD6033-107,https://static.nike.com/a/images/t_default/646f6c66-78d2-4e12-b3e3-4edc89d1a90e/NIKE+QUEST+6.png,4295.0,4295.0,['male'],adult,White/Obsidian/Wolf Grey/University Red,False,False
FD6454-012,Nike Downshifter 13,Men's Road Running Shoes,https://www.nike.com/ph/t/downshifter-13-road-running-shoes-4Gw85J/FD6454-012,https://static.nike.com/a/images/t_default/444adc8e-69e2-4cdd-ba66-47d47f7c844d/NIKE+DOWNSHIFTER+13.png,3295.0,3295.0,['male'],adult,Football Grey/Deep Night/Blue Lightning/Bright Crimson,False,False
FD6454-105,Nike Downshifter 13,Men's Road Running Shoes,https://www.nike.com/ph/t/downshifter-13-road-running-shoes-4Gw85J/FD6454-105,https://static.nike.com/a/images/t_default/d15bc8fd-03c1-42f3-a4ce-6c4dc2e8040d/NIKE+DOWNSHIFTER+13.png,3295.0,3295.0,['male'],adult,White/Light Lemon Twist/Volt/Black,False,False
